open,high,low,close,tick_volume,spread,real_volume,hh,lh,ll,hl,hh_signal,lh_signal,ll_signal,hl_signal,MACD1,MACD_signal,MACD_hist,TotalSignal,vwap,prev_high,prev_low,prev_close,prev_open,prev_real_volume,OO,OC,upt,dt,supertrend_14,closest_pivot,distancebetweenpivot,ADX,PLUS_DI,MINUS_DI,ADX_signal,Chaikin,TP,sma,mad,CCI,14EMA,21EMA,30EMA,50EMA,200SMA,4SMA,ATR,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,Bollinger_Bands_Above_Upper_BB,Bollinger_Bands_Below_Lower_BB,RSI_Over_70,"50EMA/200SMA_Cross, 50EMA>200SMA",RSI_Under_30,VWAP_Cross_From_Above,VWAP_Cross_From_Below,SUPER_UP,SUPER_DOWN,PIVOTS,HIGH,LOW,ADX_UP,ADX_DOWN,DOJI,Direction,Chaiken_Signal,"14EMA/21EMA_Cross, 14EMA>21EMA",MACD_Signal,green body> 500,red body> 500,slope_signal,slope_vwap,HIGH2,LOW2,Low_Signal,High_Signal,upper,lower,High_break,Low_break,Superup_close,Superdown_close,slope,Linreg,Linreg_signal,garman_klass_vol,prev_volatility,volatility_breakout_signal,long_signal1,short_signal1,German_signal,Exit Loss,Exit Price,Exit,Long_lost,Short_lost
69106.5,69332.1,69106.5,69272.49,187,4500,0,0,0,0,0,1,0,1,0,22.385180185869103,6.618570476419382,15.766609709449721,0,69122.33134220072,69111.5,69084.64,69106.5,69092.52,0.0,13.979999999995925,0.0,,69283.68321634365,69283.68321634365,69191.0,141.10000000000582,15.283104097391538,46.26126601036303,21.683363638612878,,1.732519008577583,69237.03000000001,69108.04833333334,33.46261904761507,256.9666697499909,69116.82071156174,69105.68141128334,69092.25691828638,69050.50439173997,68374.92255,69127.2825,72.92000000000033,63.735738880565926,69226.32267608555,69120.69249999999,69015.06232391443,22.38519658417499,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,1,1,1.0,1,0,0,1,1,1,0,0,0,69190.71,69037.62,1,0,0,1,85.53674784787744,69124.2774065934,1,3.0879015272115544e-06,5.974088287680891e-08,True,1,0,1,69418.33,69053.73000000001,-1,69126.65000000001,69418.33
69272.49,69334.1,69233.51,69321.51,214,4500,0,1,0,0,0,1,0,1,0,36.738397522014566,16.777430250051875,19.96096727196269,0,69145.14945396145,69332.1,69106.5,69272.49,69106.5,0.0,165.99000000000524,0.0,69020.02386267851,,69020.02386267851,69191.0,143.10000000000582,16.776278271490224,41.32784502483546,19.283051308381207,,69.27093664264612,69296.37333333334,69119.49642857144,49.467755102044194,238.37333281990757,69144.11261668685,69125.30219207719,69107.04744087269,69061.13265123634,68384.5471,69198.255,76.14000000000046,66.31906570273856,69266.63386697938,69128.693,68990.75213302062,36.73841259864275,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,1,1,1.0,1,0,0,1,1,1,0,0,0,69272.49,69037.62,1,0,0,0,86.77423061276347,69174.79650549447,1,8.606391168528742e-07,3.0879015272115544e-06,False,0,0,0,69473.79,69093.09,-1,69169.23,69473.79
69091.51,69110.31,68846.92,68951.5,359,4500,0,0,0,0,0,1,0,0,1,-4.680152636952698,-24.033805603244733,19.353652966292035,0,69134.59859150431,69154.41,69091.51,69091.51,69140.99,0.0,-49.48000000001048,0.0,,69238.94924432169,69238.94924432169,69191.0,80.69000000000233,19.84933501490636,18.792357102523056,35.05939663177696,,-76.09802564513484,68969.57666666666,69182.52214285714,57.54578231292856,-246.69688218272375,69131.74138193335,69135.02830502116,69128.43311700519,69095.6559540326,68471.66505,69084.73,91.80142857143073,36.778364577143165,69328.43395983368,69153.216,68977.99804016632,-4.680146694256109,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,69321.51,69037.62,0,1,0,0,-86.60866058020366,69080.16835164839,0,5.7006937665408584e-06,2.1604689072829709e-07,True,0,1,1,68767.89714285714,69226.90428571429,1,68767.89714285714,69135.10285714286
68951.5,68954.5,68824.54,68858.27,249,4500,0,0,0,1,0,1,1,0,1,-25.81443166207464,-36.13446770269334,10.320036040618701,0,69114.24184023669,69110.31,68846.92,68951.5,69091.51,0.0,-140.00999999999476,0.0,,69158.49062819421,69158.49062819421,68996.51,42.00999999999476,20.601156335567907,18.852996820587993,37.05386358058756,,-120.23199293832658,68879.10333333333,69156.95595238096,75.4952040816362,-245.36006176601805,69095.27853100891,69109.86845910961,69111.00323790169,69086.34639444607,68476.7573,69010.055,84.9700000000022,32.34553863268232,69359.10230096523,69139.75450000001,68920.4066990348,-25.81442611127568,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,69321.51,68951.5,0,1,0,0,-86.93385604937444,69016.88687912087,0,1.0722602068866823e-06,5.7006937665408584e-06,False,0,0,0,68688.33,69113.18000000001,1,68688.33,69028.21
69154.87,69412.86,69154.87,69326.01,406,4500,0,0,0,0,0,0,1,0,1,32.04068730758445,32.27291696793269,-0.23222966034824122,0,69089.17308656224,69154.87,69111.51,69154.87,69111.51,0.0,43.36000000000058,0.0,69014.98439430677,,69014.98439430677,69586.29,173.42999999999302,16.23339977777936,49.0517548694168,17.493851148044556,,142.88699150734283,69297.91333333333,69055.19476190476,80.73741496598502,200.41808499882538,69101.51943021253,69083.97479163598,69077.20427405529,69067.1357023142,68611.37555000001,69170.385,80.00642857143144,66.876568244678,69247.9429819044,69031.219,68814.4950180956,32.040688515189686,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,1,1,1.0,1,0,0,1,1,1,0,0,0,69154.87,68858.27,1,0,0,0,86.53844153538358,69182.3665054945,1,4.572914858912405e-06,4.472881416098474e-08,True,1,0,1,0.0,0.0,0,69165.99714285713,69486.02285714286
69327.04,69347.5,69247.52,69317.66,125,4500,0,0,0,0,0,0,1,0,1,46.13035345100798,37.090066489084975,9.040286961923002,0,69093.78711954765,69412.86,69154.87,69326.01,69154.87,0.0,172.16999999999825,1.0299999999988358,69026.55876801063,,69026.55876801063,69191.0,156.5,18.46122633007626,44.17786547369913,15.755623926048095,,162.0389867913873,69304.22666666667,69079.13357142857,89.32880952380843,167.98842869620103,69130.33817285085,69105.21890148731,69092.71754682566,69076.96032419492,68621.59985,69229.015,82.48785714285934,66.12319227684509,69292.86347149452,69053.0265,68813.18952850549,46.13035456080979,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,1,1.0,1,0,0,1,1,0,0,0,1,69326.01,68881.51,0,0,0,0,86.09707446107302,69231.857032967,1,1.033712751447961e-06,4.572914858912405e-06,False,0,0,0,0.0,0.0,0,69152.68428571429,69482.63571428572
69313.51,69468.52,69237.51,69444.52,217,4500,0,1,0,0,0,0,1,0,1,66.76344967789191,46.178530172775126,20.584919505116783,1,69105.66616357109,69347.5,69247.52,69317.66,69327.04,0.0,-13.529999999998836,-4.150000000008731,69053.92518336186,,69053.92518336186,69586.29,117.76999999998952,20.56214914204455,45.39893817718691,13.660658989670408,,209.84204513946133,69383.51666666666,69109.39976190476,102.80591836734779,177.75688995026218,69172.22908313741,69136.06445589763,69115.41447946476,69091.37462593826,68630.9959,69310.765,93.57642857143115,71.39544165948338,69368.80669271466,69078.249,68787.69130728533,66.76345069421222,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1,0,1,1,0,0,0,1,1,1.0,1,0,0,1,1,0,0,0,0,69326.01,68917.23,1,0,0,0,87.1987708422501,69300.94551648352,1,4.170120288691877e-06,1.033712751447961e-06,True,1,0,1,69631.67285714287,69163.79071428571,-1,69257.36714285714,69631.67285714287
69133.84,69289.8,69133.84,69264.62,334,4500,0,1,0,0,0,0,1,1,0,4.127234961793874,19.399067623898418,-15.271832662104543,0,69110.6341400132,69167.5,69041.48,69133.84,69044.58,0.0,89.25999999999476,0.0,68895.70885077232,,68895.70885077232,69191.0,98.80000000000291,13.00854995213125,31.676462326986538,17.366819012445426,,92.30071966616015,69229.42,69051.52166666667,58.503809523807185,202.71994226397393,69093.23147007421,69091.31541641407,69092.48491524773,69090.72344169552,68884.92215,69140.1375,103.38214285714328,60.65994032495352,69255.8485541583,69083.73049999999,68911.61244584167,4.127235090651084,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,1,1,1.0,1,0,0,1,1,1,0,0,0,69200.43,68944.14,1,0,0,0,83.95030032262697,69105.48600000005,1,1.1591007636443297e-06,1.0180068031760162e-06,False,0,0,0,69471.38428571429,68954.47357142856,-1,69057.8557142857,69471.38428571429
69089.08,69089.08,68646.11,68825.49,872,4500,0,0,0,0,0,0,1,1,0,-6.742841093757306,-6.95083488902077,0.20799379526346407,1,69096.11757642633,69257.91,69089.4,69089.4,69250.52,0.0,-161.44000000000233,-0.319999999992433,,69278.96367834166,69278.96367834166,68996.51,92.57000000000698,16.65786706386465,20.185946857406535,35.74168258927334,,-51.765940781890095,68853.56,69069.25357142858,97.63931972789267,-147.27234344366417,69085.75004872672,69089.24099133533,69091.89027283707,69091.31670035896,68921.8627,69101.84,145.17642857142968,36.83667866496424,69299.77781802742,69075.4675,68851.15718197258,-6.742840999024338,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,69264.62,68944.14,0,1,0,0,-87.91331240643215,69128.0463076923,0,1.5042338023836107e-05,8.711975450168404e-07,True,0,1,1,69115.84285714287,68389.96071428571,-1,68535.13714285714,69115.84285714287
68904.6,68908.56,68669.62,68721.97,378,4500,0,0,0,1,0,1,0,1,0,-45.928111206158064,-33.544876161961255,-12.383235044196807,-1,69079.23851928691,68945.5,68818.58,68901.5,68825.49,0.0,79.11000000000058,3.1000000000058208,,69218.91755980757,69218.91755980757,68996.51,87.94999999999709,18.243276640357454,15.906870383832516,34.86313810049428,,-99.62374694723985,68766.71666666666,69047.01404761904,119.7772789115687,-156.01032377174292,69015.95492548808,69040.33693498786,69056.53367266052,69069.68055837674,68935.3063,68884.59,158.8514285714295,35.021519993493186,69316.10431197834,69042.1485,68768.19268802165,-45.92811112353229,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,69264.62,68825.49,0,1,0,0,-88.26610045219688,68994.74287912085,0,3.3117312851727056e-06,1.2269012092648195e-06,True,0,1,1,69039.67285714285,68245.41571428571,-1,68404.26714285715,69039.67285714285
